id,name,default_code,list_price,standard_price,type,sale_ok,purchase_ok,active,available_in_pos,to_weight,is_published,website_sequence,categ_id,supplier_id,product_tag_ids,public_categ_ids,pos_categ_ids,taxes_id,supplier_taxes_id,description_sale,description_purchase
product_template_01951,FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,01951,869.0,521.66,Goods,True,True,True,True,False,True,10,Electrodomésticos,Cecotec,Cecotec,Electrodomésticos,Electrodomésticos,21% G,21% G,Producto FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E para venta,Producto FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E para compra
product_template_02437,AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,02437,589.0,371.5,Goods,True,True,True,True,False,True,10,Electrodomésticos,Cecotec,Cecotec,Electrodomésticos,Electrodomésticos,21% G,21% G,Producto AMERICANO BOLERO COOL MARKET SBS 430 BLANCO para venta,Producto AMERICANO BOLERO COOL MARKET SBS 430 BLANCO para compra
product_template_08380,ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,08380,55.0,41.98,Goods,True,True,True,True,False,True,10,Electrodomésticos,Cecotec,Cecotec,Electrodomésticos,Electrodomésticos,21% G,21% G,Producto ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL para venta,Producto ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL para compra
