"id","company_id","name","sequence","active","warehouse_ids","supplier_wh_id","supplied_wh_id","warehouse_selectable","shipping_selectable","packaging_selectable","product_selectable","product_categ_selectable","categ_ids","packaging_ids","product_ids","id","product_ids/id","product_ids/name","rule_ids","rule_ids/action","rule_ids/active","rule_ids/warehouse_id","rule_ids/warehouse_id/name","rule_ids/warehouse_id/id","rule_ids/propagate_warehouse_id","rule_ids/push_domain","rule_ids/propagate_cancel","rule_ids/company_id","rule_ids/partner_address_id","rule_ids/group_id","rule_ids/auto","rule_ids/id","rule_ids/procure_method","rule_ids/name","rule_ids/delay","rule_ids/group_propagation_option","rule_ids/propagate_carrier","rule_ids/sequence","rule_ids/picking_type_id","rule_ids/picking_type_id/id","rule_ids/picking_type_id/name","rule_ids/location_dest_id","rule_ids/location_dest_from_rule","rule_ids/location_src_id","sale_selectable"
"purchase_stock.route_warehouse0_buy","","Comprar","5","True","","","","","","","True","","","","","purchase_stock.route_warehouse0_buy","__export__.product_template_183_9039e8ee,__export__.product_template_225_210e4365,__export__.product_template_65_00e7df10,__export__.product_template_64_6b28c039,__export__.product_template_184_d2d52a85,__export__.product_template_240_a8f944c9,__export__.product_template_177_299aad5e,__export__.product_template_146_0d92cc9b,__export__.product_template_138_2525e4a1,__export__.product_template_68_6b6d2910,__export__.product_template_150_6f1a1995,__export__.product_template_608_e1134488,__export__.product_template_668_cd0104f8,__import__.product_template_02437,__import__.product_template_08380,__export__.product_template_151_76e95bd6,__export__.product_template_669_3c1a47fa,__export__.product_template_609_cb192a3f,__export__.product_template_152_da95089f,__export__.product_template_66_110aecf7,__export__.product_template_153_f6127c6a,__export__.product_template_69_ddd41f9b,__export__.product_template_159_95dcc0b8,__export__.product_template_160_d6fa1f0b,__export__.product_template_158_5ea0aaf7,__export__.product_template_155_078f19ad,__export__.product_template_156_41949b7f,__export__.product_template_157_b2c0f42a,__export__.product_template_67_0eb0e969,__export__.product_template_9_88228a88,__export__.product_template_164_5ad35945,__export__.product_template_10_b8570626,__export__.product_template_11_2e14f348,__export__.product_template_161_440afe27,__export__.product_template_163_cae6a3c3,__export__.product_template_162_cf0e0b84,__export__.product_template_24_91dd99da,__export__.product_template_20_3f7dd02a,__export__.product_template_15_598e9c95,__export__.product_template_16_49c75b5e,__export__.product_template_23_0cb6dd4e,__export__.product_template_19_7016cecc,__export__.product_template_27_fdbe8257,__export__.product_template_28_37313e0f,__export__.product_template_26_8d24c437,__export__.product_template_25_ddad88f5,__export__.product_template_49_3c746742,__export__.product_template_57_3b0bf94b,__export__.product_template_60_19bbbe6b,__export__.product_template_135_a57326f7,__export__.product_template_119_ce531e11,__export__.product_template_120_5c25cb6b,__export__.product_template_90_1980da45,__export__.product_template_167_71abbcf0,__export__.product_template_72_4f7022d3,__export__.product_template_78_532c710d,__export__.product_template_171_8f21c997,__export__.product_template_168_0d256aeb,__export__.product_template_170_bea11785,__export__.product_template_76_d7664ae4,__export__.product_template_75_6d5333df,__export__.product_template_77_2fa142a9,__export__.product_template_166_9f5c740f,__export__.product_template_165_89dda494,__export__.product_template_71_2bdb9d34,__export__.product_template_73_9ebc9574,__export__.product_template_74_ba4120ac,__export__.product_template_169_3a63e002,__export__.product_template_174_1d0f4983,__export__.product_template_173_dc7c5498,__export__.product_template_172_1cf406f4,__export__.product_template_86_2486784c,__export__.product_template_80_523b49f9,__export__.product_template_79_442994b8,__export__.product_template_81_6795745e,__export__.product_template_88_a041a568,__export__.product_template_82_25386576,__export__.product_template_85_ac556626,__export__.product_template_87_f906575b,__export__.product_template_58_d8c42bde,__export__.product_template_59_77b254e9,__export__.product_template_223_4a7b2294,__export__.product_template_221_a3ce7245,__export__.product_template_175_8e72b44e,__export__.product_template_239_24f55dae,__export__.product_template_136_98626ebd,__export__.product_template_190_3da5c12d,__export__.product_template_176_e180fbef,__export__.product_template_145_991f218f,__export__.product_template_43_5c55700a,__export__.product_template_40_1992f1a1,__export__.product_template_45_886f4728,__export__.product_template_42_5fc934ab,__export__.product_template_46_02b62480,__export__.product_template_47_00494465,__export__.product_template_31_16fc97f2,__export__.product_template_32_977eac24,__export__.product_template_41_f6d3e68b,__export__.product_template_133_2f42d2c0,__export__.product_template_132_dc6d8559,__export__.product_template_84_087c238d,__export__.product_template_83_7aa8935a,__export__.product_template_121_e0f72e89,__export__.product_template_180_c256760e,__export__.product_template_181_3f25745a,__export__.product_template_91_f60a9be2,__export__.product_template_92_48158169,__export__.product_template_182_eec5a3c1,__export__.product_template_179_759a82a5,__export__.product_template_191_0f428961,__export__.product_template_13_9cf822d2,__export__.product_template_186_75aca436,__export__.product_template_185_85afa7ce,__export__.product_template_93_9d7fa83a,__export__.product_template_198_8e8b87c3,__export__.product_template_199_ea00c079,__export__.product_template_188_74c4e805,__export__.product_template_187_b783db4a,__export__.product_template_189_7bc86d4b,__export__.product_template_197_bde681ee,__export__.product_template_196_433faba6,__export__.product_template_607_b42aaa1a,__export__.product_template_667_d7b6d4be,__import__.product_template_01951,__export__.product_template_149_1c72ba25,__export__.product_template_140_7bd52194,__export__.product_template_94_c35acd91,__export__.product_template_192_8540fb82,__export__.product_template_110_47c74362,__export__.product_template_108_b9ce0a55,__export__.product_template_227_9125b9d0,__export__.product_template_228_930ea0ab,__export__.product_template_229_cdf4803d,__export__.product_template_238_ab0d7e55,__export__.product_template_214_44c9bae5,__export__.product_template_215_dc1fa18c,__export__.product_template_216_4b0428fe,__export__.product_template_217_4056fb2d,__export__.product_template_236_642082ec,__export__.product_template_29_f9d6e375,__export__.product_template_30_6fbb2950,__export__.product_template_34_85c1d8d0,__export__.product_template_35_c6ad65c5,__export__.product_template_48_d1144dcc,__export__.product_template_39_76495d16,__export__.product_template_38_4c2e1fcb,__export__.product_template_36_a7795c53,__export__.product_template_37_58bf3bba,__export__.product_template_33_c149626a,__export__.product_template_44_9b535cf5,__export__.product_template_53_efd9fcee,__export__.product_template_17_5555c498,__export__.product_template_22_1fa20675,__export__.product_template_21_d44ce62b,__export__.product_template_14_30e2624d,__export__.product_template_18_ffd0ce36,__export__.product_template_12_f26dec0d,__export__.product_template_142_89f5f3fa,__export__.product_template_200_7c50e4eb,__export__.product_template_141_7a11b307,__export__.product_template_143_af36f86a,__export__.product_template_144_cc822492,__export__.product_template_139_d298251c,__export__.product_template_201_64cfd7b5,__export__.product_template_212_ed4b8dc7,__export__.product_template_213_0683d39b,__export__.product_template_202_18c6bfcc,__export__.product_template_203_1c50e5ba,__export__.product_template_204_671ab7fb,__export__.product_template_101_9c8d9043,__export__.product_template_210_0767f902,__export__.product_template_211_3a075b98,__export__.product_template_205_2888a9ab,__export__.product_template_99_611c632d,__export__.product_template_208_971280bb,__export__.product_template_100_ad460255,__export__.product_template_207_c5b3c4e0,__export__.product_template_96_2f778107,__export__.product_template_209_a4440f95,__export__.product_template_97_fe66fd87,__export__.product_template_98_d0374bb8,__export__.product_template_206_cdd30d50,__export__.product_template_105_cc02b9ed,__export__.product_template_103_529c548e,__export__.product_template_104_4670d206,__export__.product_template_106_520d911f,__export__.product_template_102_920aeb23,__export__.product_template_70_ffebbf4a,__export__.product_template_178_4adbd6e4,__export__.product_template_116_4b5f2464,__export__.product_template_193_e2b51acc,__export__.product_template_194_31467977,__export__.product_template_241_0704d890,__export__.product_template_137_029727ab,__export__.product_template_195_4df52aa1,__export__.product_template_117_7c36c7e3,__export__.product_template_218_0f35bd7b,__export__.product_template_235_b9af1e3c,__export__.product_template_112_6493688c,__export__.product_template_234_63b8d499,__export__.product_template_111_8ed27064,__export__.product_template_114_f9e5d9d1,__export__.product_template_115_fb384a4d,__export__.product_template_219_219a07f9,__export__.product_template_107_c0ddd367,__export__.product_template_226_912c5823,__export__.product_template_222_98821bfa,__export__.product_template_113_139e56df,__export__.product_template_220_7113f370,__export__.product_template_89_f0af9165,__export__.product_template_148_714ec1ee,__export__.product_template_237_2ff0f9b0,__export__.product_template_147_c7aec155,__export__.product_template_95_58717b41,__export__.product_template_118_a0a5f366,__export__.product_template_244_91e8e10b,__export__.product_template_245_3a0b0a8f,__export__.product_template_224_cf8d6d9d,__export__.product_template_134_ce16ce0a,__export__.product_template_8_e375ea1d,__export__.product_template_154_b7ebed4f,__export__.product_template_56_3fe74030,__export__.product_template_63_58f92f5f,__export__.product_template_109_31c4d95b,__export__.product_template_50_75a9331b,__export__.product_template_51_98495936,__export__.product_template_52_e131c25b,__export__.product_template_231_475fa6b5,__export__.product_template_230_3eb73f15,__export__.product_template_123_623c76b7,__export__.product_template_124_36f67f9c,__export__.product_template_122_59270d7e,__export__.product_template_242_fe9f6a7e,__export__.product_template_243_6895bba8,__export__.product_template_246_1ca4942b,__export__.product_template_233_89d52977,__export__.product_template_125_ea359c0e,__export__.product_template_127_925c7636,__export__.product_template_126_a33f9c3e,__export__.product_template_128_117b40d8,__export__.product_template_129_b6abe08f,__export__.product_template_131_f12b1a37,__export__.product_template_130_e87fd966,__export__.product_template_232_86798f0e,__export__.product_template_54_be2f9713,__export__.product_template_61_7d99dddd,__export__.product_template_62_43f6c468,__export__.product_template_55_b1e4332e,__export__.product_template_7_4bf8090a","","WH: Stock (Buy)","Comprar","True","My Company","My Company","stock.warehouse0","","","","El Pelotazo Electrohogar","","","Operación manual","__export__.stock_rule_7_99e456ac","Tomar del stock","WH: Stock (Buy)","0","Dejar vacío","","20","My Company: Recepciones","stock.picking_type_in","Recepciones","WH/Stock","","",""
"","","","","","","","","","","","","","","","","","","","Pfis: Stock (Buy)","Comprar","True","El pelotazoFisica","El pelotazoFisica","__export__.stock_warehouse_2_dea67879","","","","El pelotazo","","","Operación manual","__export__.stock_rule_12_ac64a253","Tomar del stock","Pfis: Stock (Buy)","0","Dejar vacío","","20","El pelotazoFisica: Recepciones","__export__.stock_picking_type_10_3583c484","Recepciones","Pfis/Stock","","",""
"__export__.stock_route_2_7dc2d45e","El Pelotazo Electrohogar","My Company: Receive in 1 step (stock)","9","True","My Company","","","True","","","","True","","","","__export__.stock_route_2_7dc2d45e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"__export__.stock_route_3_1c84557b","El Pelotazo Electrohogar","My Company: Deliver in 1 step (ship)","10","True","My Company","","","True","","","","True","","","","__export__.stock_route_3_1c84557b","","","WH: Stock → Customers","Obtener desde","True","My Company","My Company","stock.warehouse0","","","","El Pelotazo Electrohogar","","","Operación manual","__export__.stock_rule_2_0209cdfa","Tomar del stock","WH: Stock → Customers","0","Propagar","True","20","My Company: Órdenes de entrega","stock.picking_type_out","Órdenes de entrega","Partners/Customers","","WH/Stock",""
