id,categ_id,pos_categ_ids,standard_price,barcode,is_published,product_tag_ids,is_favorite,name,lst_price,default_code,type,product_template_variant_value_ids
__export__.product_template_0b292f73,CAFETERAS,,22.84,,True,,,CAFETERA ITALIANA INDUCCION 4T,35.0,01621,consu,
__export__.product_template_faefc491,CAFETERAS,,11.46,,True,,,CAFETERA ITALIANA ALUMINIO 12TAZAS -,18.0,01669,consu,
__export__.product_template_b4e84020,CAFETERAS,,27.22,,True,,,CAFETERA 66 DROP&THERMO TIME,40.0,00274,consu,
__export__.product_template_e86db598,CAFETERAS,,52.49,,True,,,CAFETERA EXPRESSO CUMBIA CAPRICCIOSA BLANCA,69.0,01595,consu,
__export__.product_template_31673f9a,CAFETERAS,,57.54,,True,,,CAFETERA POWER EXPRESSO 20 RETRO VERDE,89.0,01723,consu,
__export__.product_template_3fedd46e,CAFETERAS,,53.86,,True,,,CAFETERA EXPRESSO VINTAGE BEIGE,99.0,01585,consu,
__export__.product_template_6215f197,CAFETERAS,,57.04,,True,,,CAFETERA EXPRESSO CAFELIZZIA 790 NEGRO,89.0,01651,consu,
__export__.product_template_c41aa931,CAFETERAS,,62.93,,True,,,CAFETERA VINTAGE ROJO,90.0,01727,consu,
__export__.product_template_090472c4,CAFETERAS,,65.38,,True,,,CAFETERA VINTAGE AMARILLA,99.0,01629,consu,
__export__.product_template_998b95f6,CAFETERAS,,84.43,,True,,,CAFETERA SEMIAUTOMATICA POWER-INSTANT SERIE BIANCA,129.0,01557,consu,
__export__.product_template_eb195324,CALEFACCIÓN,,40.11,,True,,,CHIMENEA ELÉCTRICA READYWARM 2000 FLAMES,55.0,08268,consu,
__export__.product_template_23cac3ea,DEPILADORAS/CORTAPELOS,,13.56,,True,,,DEPILADORA BAMBA SKINCARE DEPIL-ACTION,25.0,04334,consu,
__export__.product_template_730dfbb5,DEPILADORAS/CORTAPELOS,,16.63,,True,,,AFEITADORA DE CABEZA,29.0,04443,consu,
__export__.product_template_be427d4f,DEPILADORAS/CORTAPELOS,,27.93,,True,,,MULTIGROMING 10EN1 - TWISTGROOM CORTAPELOS,45.0,04194,consu,
__export__.product_template_383079ca,EXPRIMIDOR,,11.05,,True,,,EXPRIMIDOR ZITRA STEEL,19.0,03351,consu,
__export__.product_template_9d40a370,EXPRIMIDOR,,22.89,,True,,,EXPRIMIDOR BRAZO ROJO XQUEEZE RETROJUICE 600,35.0,03899,consu,
__export__.product_template_027f91fb,EXPRIMIDOR,,16.63,,True,,,EXPRIMIDOR ESSENTIAL HYDEN 120,30.0,03892,consu,
__export__.product_template_f05d64f1,EXPRIMIDOR,,20.8,,True,,,EXPRIMIDOR TOWERADJUST EASY STEEL,35.0,03951,consu,
__export__.product_template_4c057e39,FREIDORAS,,5.22,,True,,,"150 PIEZAS DE PAPEL FREIDORA AIRE DE 5 A 6,5L",8.0,03291,consu,
__export__.product_template_2c9bd6af,FREIDORAS,,3.82,,True,,,ACCESORIOS FREIDORA AIRE,8.0,03341,consu,
__export__.product_template_ecaf3eb5,FREIDORAS,,51.21,,True,,,"FREIDORA AIRE - CECOFRY FANTASTIK VENTANA - 5,5L",85.0,04965,consu,
__export__.product_template_63dcfa76,FREIDORAS,,59.44,,True,,,FREIDORA AIRE - CECOFRY DUOHEAT 6L,99.0,03292,consu,
__export__.product_template_24145cff,FRÍGORIFICOS,,110.34,,True,,,FRIGORÍFICO BOLERO 1 PUERTA 85CM NEGRO (114L),189.0,02157,consu,
__export__.product_template_12699af6,FRÍGORIFICOS,,126.55,,True,,,FRIGORÍFICO BOLERO 1 PUERTA 85CM INOX,219.0,02674,consu,
__export__.product_template_1d4421ee,FRÍGORIFICOS,,146.27,,True,,,FRIGORÍFICO BOLERO 2P. ORIGEN 86 - GREEN E,229.0,01899,consu,
__export__.product_template_3e62850d,FUN COOKING,,16.76,,True,,,CREPERA FUN CREPELICIOUS,29.0,08022,consu,
__export__.product_template_2e989163,FUN COOKING,,24.87,,True,,,FONDUE ELECTRICA CHOCOLATE,40.0,08018,consu,
__export__.product_template_72c42854,FUN COOKING,,22.07,,True,,,GOFRERA - SANDWICHERA ROCK TOAST FAMILY,35.0,03200,consu,
__export__.product_template_b9221406,FUN COOKING,,14.27,,True,,,PALOMITERO FUN&TASTEP´CORN,25.0,03261,consu,
__export__.product_template_e05c10e4,FUN COOKING,,18.91,,True,,,PALOMITERO FUN&TASTEP´CORN lotus,35.0,04861,consu,
__export__.product_template_c93ce165,HERRAMIENTAS,,13.63,,True,,,PISTOLA SILICONA,25.0,70020,consu,
__export__.product_template_d1b0fa66,NEVERAS,,27.28,,True,,,FRIGORÍFICO BOLERO HABANA NEGRO 4L,45.0,02685,consu,
__export__.product_template_0c4d04fa,NEVERAS,,27.28,,True,,,FRIGORÍFICO BOLERO HABANA NEGRO 4L,45.0,02689,consu,
__export__.product_template_c85be767,NEVERAS,,38.09,,True,,,FRIGORÍFICO BAMBA BLANCO 6L,55.0,02695,consu,
__export__.product_template_753992cd,NEVERAS,,34.1,,True,,,FRIGORÍFICO BAMBA ESPEJO 6L,55.0,04441,consu,
__export__.product_template_eb4da09e,LAVAVAJILLAS,,198.31,,True,,,"LAVAVAJILLAS BOLERO AGUAZERO 6200 NEGRO ""D""",339.0,02774,consu,
__export__.product_template_a8e8a995,MICROONDAS,,40.0,,True,,,"MICROONDAS 20L 3010 PROCLEAN, RETRO CREMA",65.0,01704,consu,
__export__.product_template_d83c8567,MICROONDAS,,43.34,,True,,,"MICROONDAS 20L GRILL, 3110, RETRO AZUL",65.0,01706,consu,
__export__.product_template_ed720996,MICROONDAS,,43.34,,True,,,"MICROONDAS 20L GRILL, 5110, digital RETRO AZUL",75.0,01711,consu,
__export__.product_template_f5a58a5a,MICROONDAS,,44.0,,True,,,"MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO",75.0,01713,consu,
__export__.product_template_0c79bc3c,MICROONDAS,,0.0,,True,,,"MICROONDAS 20L GRILL, PROCLEAN, RETRO AMARILLO",75.0,01713,consu,
__export__.product_template_f8f47d9c,MICROONDAS,,53.36,,True,,,MICROONDAS 20L PROCLEAN 3120 - INOX ESPEJO SIN PLATO,85.0,A01_EU01_100518,consu,
__export__.product_template_1ddff8f7,MICROONDAS,,60.04,,True,,,MICROONDAS SIN PLATO GRANDHEAT 2010 FLATBED STEEL,89.0,01399,consu,
__export__.product_template_0318c507,MICROONDAS,,74.17,,True,,,MICROONDAS 25L SIN PLATO GRANDHEAT 2500-NEGRO,119.0,01405,consu,
__export__.product_template_be31f5aa,MICROONDAS,,67.43,,True,,,MICROONDAS 23L SIN PLATO GRANDHEAT 2300 - BLANCO,109.0,01359,consu,
__export__.product_template_a1bdf764,MICROONDAS,,56.7,,True,,,Microondas digital de 23 litros - PROCLEAN 6110,109.0,01537,consu,
__export__.product_template_0587e069,MICROONDAS,,49.35,,True,,,MICROONDAS 20L PROCLEAN 3030 - NEGRO SIN PLATO,79.0,A01_EU01_100513,consu,
__export__.product_template_7bcae543,MICROONDAS,,50.02,,True,,,MICROONDAS 20L PROCLEAN 3120 - BLANCO SIN PLATO,79.0,A01_EU01_100516,consu,
__export__.product_template_165cc237,MICROONDAS,,70.06,,True,,,MICROONDAS 20L CON GRILL - 700W - AZUL,110.0,A01_EU01_101130,consu,
__export__.product_template_23e1b791,MICROONDAS,,70.06,,True,,,MICROONDAS 20L CON GRILL - 700W - VERDE,110.0,A01_EU01_101132,consu,
__export__.product_template_43c6e4e0,MINIHORNO,,21.3,,True,,,HORNO SOBREMESA 10L BLANCO,39.0,03811,consu,
__export__.product_template_453082b4,MINIHORNO,,38.34,,True,,,HORNO SOBREMESA 23L BLANCO BAKE&TOAST,65.0,03812,consu,
__export__.product_template_6ffdb389,MINIHORNO,,50.0,,True,,,HORNO SOBREMESA 26L BLANCO (4PIZZA),79.0,03813,consu,
__export__.product_template_48507344,MINIHORNO,,52.02,,True,,,HORNO SOBREMESA 30L BLANCO,89.0,03814,consu,
__export__.product_template_7f03352c,PLANCHAS-COCINA,,27.42,,True,,,PLACA DE INDUCCIÓN PORTATIL FULL RYSTAL ONYX,49.0,03069,consu,
__export__.product_template_96309987,PLANCHAS-COCINA,,28.1,,True,,,PLANCHA DE ASAR TASTY&GRILL 3000,45.0,03088,consu,
__export__.product_template_6b0abf97,PLANCHAS-ROPA,,19.69,,True,,,PLANCHA VERTICAL (FAST&FURIOUS) 4010 VITAL,29.0,05543,consu,
__export__.product_template_6e69b263,PLANCHAS-ROPA,,49.73,,True,,,CENTRO PLANCHADO VERTICAL,65.0,01866,consu,
__export__.product_template_830c391b,PLANCHAS-ROPA,,18.8,,True,,,PLANCHA ROPA IRONHERO3200 FORCE,35.0,01872,consu,
__export__.product_template_e5aaf4a3,PLANCHAS-ROPA,,66.12,,True,,,CENTRO PLANCHADO-Fast&Furious 8040 Absolute,99.0,05535,consu,
__export__.product_template_703577d9,SARTENES/OLLAS,,24.26,,True,,,SET SARTENES POLKA 18-22-26 (ROSA),39.0,03130,consu,
__export__.product_template_5b7199ba,SARTENES/OLLAS,,24.26,,True,,,SET SARTENES POLKA 18-22-26 (AMARILLO),39.0,03130,consu,
__export__.product_template_1220a8db,SARTENES/OLLAS,,8.45,,True,,,1 SARTEN POLKA 18 (NEGRO MANGO TURQUESA),15.0,03167,consu,
__export__.product_template_e24794a6,SECADORES/PELO,,30.85,,True,,,PLANCHA PELO RITUAL CARE TWERK,45.0,00664,consu,
__export__.product_template_ba9cd9ac,TERMOS,,27.52,,True,,,HERVIDOR DE AGUA ELECTRICO WOODY 200 RETRO NEGRO,45.0,00267,consu,
__export__.product_template_c945e455,TERMOS,,28.89,,True,,,HERVIDOR THERMOSENSE VINTAGE - BEIGE,45.0,01485,consu,
__export__.product_template_b8b45832,TERMOS,,28.89,,True,,,HERVIDOR THERMOSENSE VINTAGE - VERDE,45.0,01483,consu,
__export__.product_template_b28bbb26,TOSTADOR,,16.27,,True,,,TOSTADOR 9000 DOBLE NEGRO,29.0,03179,consu,
__export__.product_template_193b1949,TOSTADOR,,23.98,,True,,,TOSTADOR 8000 DOBLE RETRO BLUE,40.0,03105,consu,
__export__.product_template_fcdf9481,VENTILADORES,,17.55,,True,,,VENTILADOR ROSA RETRO DESK 400,30.0,08210,consu,
__export__.product_template_a2b9b752,VENTILADORES,,22.83,,True,,,VENTILADOR BEIGE RETRO - 800,39.0,08208,consu,
__export__.product_template_d515bea6,PLACAS/VITRO,,67.73,,True,,,PLACA INDUCCIÓN BOLERO SQUAD - 2 FUEGOS,119.0,02450,consu,
__export__.product_template_77417be3,PLACAS/VITRO,,91.9,,True,,,PLACA GAS 43 FUEGOS INOX - 60CM,139.0,A01_EU01_100188,consu,
__export__.product_template_b22e77ad,OTROS,,15.15,,True,,,JARRA PURIFICADORA AGUA H2ONATURE 2400,25.0,04181,consu,
__export__.product_template_94613401,OTROS,,16.27,,True,,,SACACORCHOS ELÉCTRICO INSTANTCORK 1000,29.0,02310,consu,
__export__.product_template_1b1f91a5,OTROS,,19.29,,True,,,HERVIDOR VAPOVITA 3000 INOX - VAPORERA,35.0,04109,consu,
__export__.product_template_6db5a5ec,OTROS,,51.55,,True,,,CORTAFIAMBRES ROCK´CUT TWIN,85.0,02307,consu,
__export__.product_template_42aa35dc,OTROS,,3.82,,True,,,ACEITERA SPRAY POLKA,8.0,03260,consu,
__export__.product_template_02f835a2,OTROS,,55.12,,True,,,PANIFICADORA,89.0,02229,consu,
__export__.product_template_5b9db2dc,OTROS,,16.67,,True,,,UTENSILIOS COCINA AMARILLO,25.0,01180,consu,
__export__.product_template_5fe4fcdd,OTROS,,16.21,,True,,,UTENSILIOS COCINA ROSA,25.0,01181,consu,
__export__.product_template_2152a7ab,OTROS,,9.98,,True,,,SET CUCHILLOS 6 SWISS NEGRO,20.0,01024,consu,
__export__.product_template_87dae847,OTROS,,9.98,,True,,,SET CUCHILLOS 7 TITANIUM,15.0,01012,consu,
__export__.product_template_15ffd066,OTROS,,34.97,,True,,,VAPORETA MANUAL VENTANAS,55.0,00644,consu,
