id,categ_id,pos_categ_ids,standard_price,barcode,is_published,product_tag_ids,is_favorite,name,lst_price,default_code,type,product_template_variant_value_ids
__export__.product_template_47c0fa0e,AMERICANOS,,521.66,,True,,,FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,869.0,01951,consu,
__export__.product_template_0b694159,AMERICANOS,,371.5,,True,,,AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,589.0,02437,consu,
__export__.product_template_63086231,ASPIRADOR,,41.98,,True,,,ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,55.0,08380,consu,
__export__.product_template_51d37a0d,ASPIRADOR,,27.63,,True,,,ASPIRADOR LIMPIACRISTALES,35.0,08058,consu,
__export__.product_template_c6e7ecf9,BASCULA,,12.61,,True,,,BASCULA DE COCINA DIGITAL COOK CONTROL,19.0,04236,consu,
__export__.product_template_8c48cce9,BASCULA,,33.53,,True,,,SURFACE PRECISION 10600 SMART HEALTHY PRO DARK GREY,40.0,04265,consu,
__export__.product_template_34d061ec,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro azul 1200w,30.0,03938,consu,
__export__.product_template_261cd0ef,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro rojo 1200w,30.0,03939,consu,
__export__.product_template_e6c921ab,BATIDORAS MANO,,18.26,,True,,,BATIDORA MANO POWER retro verde 1200w,30.0,03945,consu,
__export__.product_template_3b9596e3,BATIDORAS MANO,,24.08,,True,,,BATIDORA MANO POWER PULSAR 2300W,39.0,03909,consu,
__export__.product_template_780b37f1,BATIDORAS MANO,,25.67,,True,,,BATIDORA MANO KATANA 12 JAR G,45.0,03965,consu,
__export__.product_template_1d276c32,BATIDORAS MANO,,36.49,,True,,,BATIDORA MANO KATANA 1500W CHOP,55.0,03975,consu,
__export__.product_template_ad260e52,BATIDORAS VASO,,24.87,,True,,,BATIDORA VASO POWER BLACK TITANIUM - RETRO AZUL,45.0,03883,consu,
__export__.product_template_4cc1d752,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO RETRO ROJO,35.0,03935,consu,
__export__.product_template_1ca4f7bf,BATIDORAS VASO,,18.63,,True,,,BATIDORA VASO POWER TITANIUM 500 EASYGO,30.0,03987,consu,
__export__.product_template_7ce53c74,BATIDORAS VASO,,49.79,,True,,,BATIDORA VASO 2500W - BOTELLA REGALO,79.0,04310,consu,
