"id","company_id","currency_id","product_tmpl_id","delay","price","partner_id","sequence","min_qty","product_code","discount","date_end","date_start","id","product_name","product_id"
"__export__.product_supplierinfo_1_28c08d5c","El Pelotazo Electrohogar","EUR","[BHB3525] BATIDORA VARILLA CON ACCESORIOS","1","22.09","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_1_28c08d5c","",""
"__export__.product_supplierinfo_2_0bab0f27","El Pelotazo Electrohogar","EUR","[BTB5027] BATIDORA VASO - BECKEN - 1000W","1","20.91","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_2_0bab0f27","",""
"__export__.product_supplierinfo_3_f4956040","El Pelotazo Electrohogar","EUR","[KTB5023] BATIDORA VASO - BECKEN - 500W","1","12.35","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_3_f4956040","",""
"__export__.product_supplierinfo_4_7bb9cc9a","El Pelotazo Electrohogar","EUR","[KDW5136SL] (KUNFT) LAVAVAJILLAS INOX 60CM","1","190.26","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_4_7bb9cc9a","",""
"__export__.product_supplierinfo_5_b131fcfe","El Pelotazo Electrohogar","EUR","[BAF7528] FREIDORA AIRE 5L - 1500W - NEGRA","1","40.93","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_5_b131fcfe","",""
"__export__.product_supplierinfo_6_a957a0bf","El Pelotazo Electrohogar","EUR","[KSD9124 WH] (KUNFT) FRIGORÍFICO 1P BAJO ENCIMERA BLANCO","1","119.41","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_6_a957a0bf","",""
"__export__.product_supplierinfo_7_e0fe242e","El Pelotazo Electrohogar","EUR","[BC4322WH] (BECKEN) COMBI NF BLANCO 1,85M","1","259.86","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_7_e0fe242e","",""
"__export__.product_supplierinfo_8_dcd42b45","El Pelotazo Electrohogar","EUR","[BC4322IX] (BECKEN) COMBI NF INOX 1,85M","1","261.84","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_8_dcd42b45","",""
"__export__.product_supplierinfo_9_f2306f22","El Pelotazo Electrohogar","EUR","[KC9113WH] (KUNFT) COMBI 1,80M X 55CM BLANCO - CICLICO","1","167.47","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_9_f2306f22","",""
"__export__.product_supplierinfo_10_21da21f3","El Pelotazo Electrohogar","EUR","[KC9134WH] (KUNFT) FRIGORÍFICO COMBI  1,43M","1","148.93","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_10_21da21f3","",""
"__export__.product_supplierinfo_11_6bfc0c81","El Pelotazo Electrohogar","EUR","[BSD9267WH] (BECKEN) FRIGORÍFICO 1P BLANCO - NF - 1,72","1","265.0","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_11_6bfc0c81","",""
"__export__.product_supplierinfo_12_b265e052","El Pelotazo Electrohogar","EUR","[BCF8338] (BECKEN)ARCON CONGELADOR 418L","1","282.11","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_12_b265e052","",""
"__export__.product_supplierinfo_13_eae2099a","El Pelotazo Electrohogar","EUR","[KUF9126WH] (KUNFT) CONGELADOR CAJONES VERTICAL 91L","1","117.25","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_13_eae2099a","",""
"__export__.product_supplierinfo_14_cd73eced","El Pelotazo Electrohogar","EUR","[KUF9261WH] (KUNFT) CONGELADOR 1P - 1,43M","1","155.98","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_14_cd73eced","",""
"__export__.product_supplierinfo_15_64b8bb07","El Pelotazo Electrohogar","EUR","[BUF9268WH] (BECKEN) CONGELADOR VERTICAL NO FROST","1","279.99","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_15_64b8bb07","",""
