id,public_categ_ids,is_published,is_favorite,name,list_price,website_sequence
,ELECTRODOMÉSTICOS,True,,FRIGORÍFICO PUERTA FRANCESA BOLERO COOLMARKET FD 436 INOX E,869.0,10000
,ELECTRODOMÉSTICOS,True,,AMERICANO BOLERO COOL MARKET SBS 430 BLANCO,589.0,10010
,ELECTRODOMÉSTICOS,True,,ASPIRADOR CONGA ROCKSTAR MICRO ESSENTIAL,55.0,10020
