Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
GRILL INOX 900W - PARRILLA,GR3250,30.0,21.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_GR3250
TABLA ASADO 2000W,TB2203,35.0,37.8,,ORBEGOZO,,,Storable Product,ORBEGOZO_TB2203
GRILL 2200W,GR4570,55.0,56.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_GR4570
PLACA VITROCERÁMICA PORTATIL 2F,PCE6000,99.0,104.1,Placas,ORBEGOZO,,,Storable Product,ORBEGOZO_PCE6000
PLACA GAS - CRISTAL NEGRO - 2 FUEGOS,FO 2720,100.0,100.55,Placas,ORBEGOZO,,,Storable Product,ORBEGOZO_FO 2720
PLANCHA SIN VAPOR - 1200W,SV1270,12.0,13.15,,ORBEGOZO,,,Storable Product,ORBEGOZO_SV1270
PLANCHA A VAPOR - 2600W,SV2670,29.0,16.72,,ORBEGOZO,,,Storable Product,ORBEGOZO_SV2670
PLANCHA A VAPOR - 3000W,SV3000A,39.0,21.81,,ORBEGOZO,,,Storable Product,ORBEGOZO_SV3000A
OLLA A PRESION ELECTRICA 6L,HPE6075,79.0,78.5,,ORBEGOZO,,,Storable Product,ORBEGOZO_HPE6075
PIZZAPAN,PZ8100,45.0,26.65,,ORBEGOZO,,,Storable Product,ORBEGOZO_PZ8100
SECADOR 2400W,SE2400,30.0,32.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_SE2400
BOTELLA TERMO - AZUL MARINO - 350ML,TRL354,6.0,6.16,,ORBEGOZO,,,Storable Product,ORBEGOZO_TRL354
BOTELLA TERMO - AZUL MARINO - 350ML,TRL754,10.0,9.37,,ORBEGOZO,,,Storable Product,ORBEGOZO_TRL754
EXPOSITOR 6 TERMOS BOTELLA/VASO TAPON,SET TRL 5000,9.0,7.086,,ORBEGOZO,,,Storable Product,ORBEGOZO_SET TRL 5000
TOSTADOR RANURA LARGA,TO4012,29.0,0.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_TO4012
TOSTADOR RANURA LARGA,TO4014,25.0,13.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_TO4014
