default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
TRL754,BOTELLA TERMO - AZUL MARINO - 350ML,consu,9.37,10.0,,ORBEGOZO,True,True,True
SET TRL 5000,EXPOSITOR 6 TERMOS BOTELLA/VASO TAPON,consu,7.086,9.0,,ORBEGOZO,True,True,True
TO4012,TOSTADOR RANURA LARGA,consu,0.0,29.0,,ORBEGOZO,True,True,True
TO4014,TOSTADOR RANURA LARGA,consu,13.0,25.0,,ORBEGOZO,True,True,True
TO5030,TOSTADOR INOX,consu,33.0,33.0,,ORBEGOZO,True,True,True
TO2020,TOSTADOR PLANO 800W,consu,21.6,35.0,,ORBEGOZO,True,True,True
HF2100,VENTILADOR DE MANO,consu,11.9,12.0,,ORBEGOZO,True,True,True
SF1040,VENTILADOR DE PIE,consu,29.8,30.0,,ORBEGOZO,True,True,True
SF1140,VENTILADOR DE PIE,consu,29.8,29.0,,ORBEGOZO,True,True,True
TF0139,VENTILADOR DE SOBREMESA,consu,36.0,35.0,,ORBEGOZO,True,True,True
TF0143,VENTILADOR DE SOBREMESA 40,consu,36.05,35.0,,ORBEGOZO,True,True,True
CP12205,VENTILADOR DE TECHO,consu,153.0,155.0,,ORBEGOZO,True,True,True
CP12105,VENTILADOR DE TECHO,consu,160.55,159.0,,ORBEGOZO,True,True,True
ESP 1010,ESPEJO PARED VENTOSAS ZOOM/LUZ,consu,10.45,10.0,,ORBEGOZO,True,True,True
PG02,ENCHUFE PROGRAMADOR MANUAL,consu,5.3,5.0,,ORBEGOZO,True,True,True
SETTRL 5500,SET TERMOS 6 BOTELLAS,consu,47.25,8.0,,ORBEGOZO,True,True,True
TRL753,BOTELLA TERMO ,consu,9.37,12.0,,ORBEGOZO,True,True,True
NO3500,CORTAPELOS NARIZ,consu,8.45,8.0,,ORBEGOZO,True,True,True
PC1009,PESO COCINA,consu,9.75,15.0,,ORBEGOZO,True,True,True
AH3545,ALMOHADILLA ELECTRICA,consu,22.4,20.0,,ORBEGOZO,True,True,True
MQ3006,MATA INSECTOS,consu,16.0,15.0,,ORBEGOZO,True,True,True
FCH4000,FUENTE DE CHOCOLATE 32W,consu,27.0,29.0,,ORBEGOZO,True,True,True
