default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
A/A,,consu,0.0,0.0,,ORBEGOZO,True,True,True
ADR128,A/A PORTATIL + CALEFACCION,consu,0.0,0.0,,ORBEGOZO,True,True,True
ADR97,A/A PORTATIL  + CALEFACCION,consu,0.0,0.0,,ORBEGOZO,True,True,True
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
ASPIRADOR,,consu,0.0,0.0,,ORBEGOZO,True,True,True
AP4600,ASPIRADOR VERTICAL ,consu,0.0,0.0,Aspiradoras,ORBEGOZO,True,True,True
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
BATIDORAS,,consu,0.0,0.0,,ORBEGOZO,True,True,True
BV2500,BATIDORA PORTATIL USB,consu,0.0,0.0,Batidoras,ORBEGOZO,True,True,True
BA3600,AMASADORA DE MANO ORBEGOZO,consu,0.0,0.0,,ORBEGOZO,True,True,True
BT2680,BATIDORA MANO - 1000W,consu,0.0,0.0,Batidoras,ORBEGOZO,True,True,True
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
CAFETERAS,,consu,0.0,0.0,,ORBEGOZO,True,True,True
MO 3250,MOLINILLO CAFÉ - 150W,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFR340,CAFETERA ITALIANA ROJA - 3TAZAS,consu,0.0,0.0,,ORBEGOZO,True,True,True
KF 900,CAFETERA ALUMINIO INOX - 9 TAZAS,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFR640,CAFETERA ITALIANA ROJA - 6TAZAS,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFR940,CAFETERA ITALIANA ROJA - 9 TAZAS,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFI660 A,CAFETERA ITALIANA 6T INDUCCION,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFN1210,CAFETERA ITALIANA 12T NEGRO,consu,0.0,0.0,,ORBEGOZO,True,True,True
KFI960,CAFETERA ITALIANA 9T INDUCCION,consu,0.0,0.0,,ORBEGOZO,True,True,True
EX5300,CAFETERA ESPRESSO 20 BAR - NEGRO - INOX,consu,0.0,0.0,,ORBEGOZO,True,True,True
,,consu,0.0,0.0,,ORBEGOZO,True,True,True
CALEFACCIÓN,,consu,0.0,0.0,,ORBEGOZO,True,True,True
FH5115,CALEFACTOR COMPACTO BLANCO - 2000W,consu,0.0,0.0,,ORBEGOZO,True,True,True
